Source:,C:\Dropbox\InfoLaptop\Bread80\Datapoint2200\Memory\Memory.sch,,,,,
Date:,04/08/2023 15:44,,,,,
Tool:,Eeschema (5.1.12)-1,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
Component Count:,173,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C2, ",2,.001u 200V,C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C3, ",1,.1u 10V,C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C6, C39, C41, C42, C43, C45, C46, C47, C48, ",9,.1u 100V,C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C36, C37, C49, ",3,22u 15V,CP,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,Polarized capacitor,
"C38, ",1,.033u 25V,C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C44, ",1,68u 15V,CP,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,Polarized capacitor,
"D901, ",19,COL0,LED,DataPoint_2200:LED_Dialight_597_xxxx_407F_SMT_RA_3mmx2mmx1mm,Light emitting diode,
"D920, ",32,Z5,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,
"Q1, Q6, ",2,2N3725,2N2219,Package_TO_SOT_THT:TO-39-3,"800mA Ic, 50V Vce, NPN Transistor, TO-39",
"Q2, Q5, ",2,2N2219,2N2219,Package_TO_SOT_THT:TO-39-3,"800mA Ic, 50V Vce, NPN Transistor, TO-39",
"Q3, Q4, ",2,2N3726,Q_PNP_BCE,Package_TO_SOT_THT:TO-39-3,"PNP transistor, base/collector/emitter",
"R1, R13, ",2,220,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R2, R14, ",2,100,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R3, R15, ",2,680,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R4, R5, R6, R7, R8, R9, R10, R11, R12, R18, R19, R20, R21, ",13,2k2,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R16, ",1,330,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R22, ",1,470,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R25, R28, ",2,1k,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R26, R27, ",2,6R8,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R901, R902, R903, R904, R905, R906, R907, R908, R909, R910, R911, R912, R913, R914, R915, R916, R917, R918, R919, R920, R921, R922, R923, ",23,470R,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,
"U904, U905, U906, ",3,74HCT245,74LS245,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,"Octal BUS Transceivers, 3-State outputs",
"Z1, Z19, ",2,7405,74LS05,Package_DIP:DIP-14_W7.62mm_Socket,Inverter Open Collect,
"Z2, Z3, Z4, Z5, Z6, Z7, Z8, Z9, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18, Z20, Z21, Z22, Z23, Z24, Z25, Z26, Z27, Z29, Z30, Z31, Z32, Z33, Z34, Z35, Z36, ",32,1405,1405,DataPoint_2200:TO-99-10,Intel 1405 512-bit (512 x 1) Dymanic Recirculating Shift Register (Shift Memory),
"Z10, Z28, ",2,7442,74LS42,Package_DIP:DIP-16_W7.62mm_Socket,4 to 10 line Decoder,
"Z37, ",1,TL720,TL720,Package_DIP:DIP-14_W7.62mm_Socket,Dual Differential Comparator,
"Z38, ",1,7403,74LS03,Package_DIP:DIP-14_W7.62mm_Socket,Quad 2-input NAND open collector,
